!Keysight Technologies,E4990A,MY54302406,A.03.06
!Date: Wed May 14 20:13:48 2025

BEGIN CH1_DATA
Frequency(Hz), |Z|(Ohm)-data
+2.00000000000e+001, +1.26843781875e+000
+2.13560000000e+001, +1.26849384275e+000
+2.28040000000e+001, +1.26852490182e+000
+2.43510000000e+001, +1.26876049789e+000
+2.60020000000e+001, +1.26882178429e+000
+2.77650000000e+001, +1.26880527897e+000
+2.96480000000e+001, +1.26917324831e+000
+3.16590000000e+001, +1.26939601760e+000
+3.38060000000e+001, +1.26969492802e+000
+3.60980000000e+001, +1.26992903712e+000
+3.85460000000e+001, +1.27008343001e+000
+4.11600000000e+001, +1.27048891134e+000
+4.39510000000e+001, +1.27103377340e+000
+4.69310000000e+001, +1.27116205880e+000
+5.01140000000e+001, +1.27191050218e+000
+5.35120000000e+001, +1.27230118673e+000
+5.71410000000e+001, +1.27294689749e+000
+6.10160000000e+001, +1.27376912527e+000
+6.51530000000e+001, +1.27429426222e+000
+6.95720000000e+001, +1.27531055313e+000
+7.42890000000e+001, +1.27610366017e+000
+7.93270000000e+001, +1.27750746678e+000
+8.47060000000e+001, +1.27859249003e+000
+9.04510000000e+001, +1.28003851217e+000
+9.65840000000e+001, +1.28160857251e+000
+1.03134000000e+002, +1.28334565785e+000
+1.10128000000e+002, +1.28537690599e+000
+1.17596000000e+002, +1.28752886454e+000
+1.25570000000e+002, +1.28993865751e+000
+1.34085000000e+002, +1.29292221082e+000
+1.43178000000e+002, +1.29599667037e+000
+1.52887000000e+002, +1.29954513198e+000
+1.63255000000e+002, +1.30363658426e+000
+1.74325000000e+002, +1.30815180782e+000
+1.86147000000e+002, +1.31347936795e+000
+1.98770000000e+002, +1.31929670961e+000
+2.12248000000e+002, +1.32585289338e+000
+2.26642000000e+002, +1.33331974075e+000
+2.42011000000e+002, +1.34149842056e+000
+2.58422000000e+002, +1.35099696188e+000
+2.75946000000e+002, +1.36163516757e+000
+2.94658000000e+002, +1.37361223951e+000
+3.14640000000e+002, +1.38706482219e+000
+3.35976000000e+002, +1.40261869548e+000
+3.58759000000e+002, +1.41950534281e+000
+3.83088000000e+002, +1.43875533683e+000
+4.09066000000e+002, +1.46017389380e+000
+4.36805000000e+002, +1.48464515322e+000
+4.66426000000e+002, +1.51133627685e+000
+4.98055000000e+002, +1.54187162711e+000
+5.31830000000e+002, +1.57582993245e+000
+5.67894000000e+002, +1.61371221325e+000
+6.06404000000e+002, +1.65511547528e+000
+6.47526000000e+002, +1.70129006399e+000
+6.91436000000e+002, +1.75294014063e+000
+7.38324000000e+002, +1.80925675949e+000
+7.88391000000e+002, +1.87143097925e+000
+8.41853000000e+002, +1.93993357805e+000
+8.98941000000e+002, +2.01551846423e+000
+9.59900000000e+002, +2.09846344788e+000
+1.02499300000e+003, +2.18829315462e+000
+1.09450000000e+003, +2.28702617262e+000
+1.16872100000e+003, +2.39406706418e+000
+1.24797400000e+003, +2.51150010114e+000
+1.33260200000e+003, +2.63757843769e+000
+1.42296800000e+003, +2.77520053372e+000
+1.51946300000e+003, +2.92363557883e+000
+1.62250100000e+003, +3.08398815243e+000
+1.73252600000e+003, +3.25763873621e+000
+1.85001200000e+003, +3.44431542210e+000
+1.97546600000e+003, +3.64556307457e+000
+2.10942600000e+003, +3.86251651644e+000
+2.25247100000e+003, +4.09506440517e+000
+2.40521600000e+003, +4.34559981154e+000
+2.56831900000e+003, +4.61409056993e+000
+2.74248200000e+003, +4.90233921096e+000
+2.92845500000e+003, +5.21148961772e+000
+3.12704000000e+003, +5.54295606474e+000
+3.33909100000e+003, +5.89800918249e+000
+3.56552200000e+003, +6.27807277528e+000
+3.80730800000e+003, +6.68558534894e+000
+4.06549000000e+003, +7.12086180124e+000
+4.34117900000e+003, +7.58692152148e+000
+4.63556400000e+003, +8.08555081391e+000
+4.94991100000e+003, +8.61975024909e+000
+5.28557500000e+003, +9.18943161187e+000
+5.64400100000e+003, +9.79956052966e+000
+6.02673300000e+003, +1.04512215994e+001
+6.43541900000e+003, +1.11475832963e+001
+6.87181800000e+003, +1.18924530019e+001
+7.33781100000e+003, +1.26884730512e+001
+7.83540300000e+003, +1.35383845730e+001
+8.36673900000e+003, +1.44471103691e+001
+8.93410500000e+003, +1.54168917729e+001
+9.53994600000e+003, +1.64543758762e+001
+1.01868700000e+004, +1.75616151632e+001
+1.08776630000e+004, +1.87450095499e+001
+1.16153000000e+004, +2.00072383756e+001
+1.24029590000e+004, +2.13584397361e+001
+1.32440300000e+004, +2.27990903096e+001
+1.41421360000e+004, +2.43390281997e+001
+1.51011440000e+004, +2.59841432867e+001
+1.61251850000e+004, +2.77407543923e+001
+1.72186680000e+004, +2.96174752923e+001
+1.83863020000e+004, +3.16223179440e+001
+1.96331170000e+004, +3.37621233697e+001
+2.09644800000e+004, +3.60498299696e+001
+2.23861260000e+004, +3.84939900345e+001
+2.39041770000e+004, +4.11033202397e+001
+2.55251700000e+004, +4.38913490675e+001
+2.72560860000e+004, +4.68726520352e+001
+2.91043800000e+004, +5.00545720585e+001
+3.10780100000e+004, +5.34566636708e+001
+3.31854760000e+004, +5.70914131672e+001
+3.54358540000e+004, +6.09781473808e+001
+3.78388340000e+004, +6.51310523814e+001
+4.04047660000e+004, +6.95708753709e+001
+4.31446990000e+004, +7.43189307561e+001
+4.60704330000e+004, +7.93960159100e+001
+4.91945680000e+004, +8.48291667300e+001
+5.25305560000e+004, +9.06391598379e+001
+5.60927650000e+004, +9.68616248138e+001
+5.98965350000e+004, +1.03521911917e+002
+6.39582460000e+004, +1.10653421582e+002
+6.82953910000e+004, +1.18296129514e+002
+7.29266470000e+004, +1.26487068054e+002
+7.78719590000e+004, +1.35274296322e+002
+8.31526220000e+004, +1.44707717656e+002
+8.87913780000e+004, +1.54830370092e+002
+9.48125110000e+004, +1.65710714424e+002
+1.01241949000e+005, +1.77422047409e+002
+1.08107382000e+005, +1.90031747928e+002
+1.15438373000e+005, +2.03636477947e+002
+1.23266495000e+005, +2.18325699384e+002
+1.31625459000e+005, +2.34184753687e+002
+1.40551262000e+005, +2.51396403971e+002
+1.50082342000e+005, +2.70082807635e+002
+1.60259745000e+005, +2.90419895585e+002
+1.71127300000e+005, +3.12581547737e+002
+1.82731807000e+005, +3.36850103753e+002
+1.95123240000e+005, +3.63517002226e+002
+2.08354962000e+005, +3.92937738494e+002
+2.22483956000e+005, +4.25516583076e+002
+2.37571067000e+005, +4.61840863472e+002
+2.53681267000e+005, +5.02522805525e+002
+2.70883935000e+005, +5.48538149925e+002
+2.89253151000e+005, +6.00965357522e+002
+3.08868023000e+005, +6.61297723304e+002
+3.29813022000e+005, +7.31596531889e+002
+3.52178346000e+005, +8.14667412857e+002
+3.76060309000e+005, +9.14517968515e+002
+4.01561760000e+005, +1.03717377620e+003
+4.28792518000e+005, +1.19191782011e+003
+4.57869852000e+005, +1.39388802664e+003
+4.88918982000e+005, +1.66932227487e+003
+5.22073620000e+005, +2.06927303058e+003
+5.57476544000e+005, +2.70390614947e+003
+5.95280216000e+005, +3.86982349589e+003
+6.35647435000e+005, +6.69075793493e+003
+6.78752042000e+005, +1.89540937649e+004
+7.24779664000e+005, +1.12998368480e+004
+7.73928517000e+005, +5.15333080622e+003
+8.26410258000e+005, +3.27687529353e+003
+8.82450898000e+005, +2.38467834269e+003
+9.42291773000e+005, +1.86566866334e+003
+1.00619058500e+006, +1.52509239937e+003
+1.07442251200e+006, +1.28398462187e+003
+1.14728139100e+006, +1.10326902748e+003
+1.22508098600e+006, +9.61988996152e+002
+1.30815633700e+006, +8.48258807925e+002
+1.39686520500e+006, +7.54654084064e+002
+1.49158960900e+006, +6.75924625484e+002
+1.59273747800e+006, +6.08237770678e+002
+1.70074439900e+006, +5.48598465761e+002
+1.81607550000e+006, +4.94417750098e+002
+1.93922744700e+006, +4.43713885668e+002
+2.07073059100e+006, +3.97163449130e+002
+2.21115124400e+006, +3.54620020820e+002
+2.36109411900e+006, +3.16483470109e+002
+2.52120494100e+006, +2.82269815415e+002
+2.69217321800e+006, +2.52690207207e+002
+2.87473521900e+006, +2.25426887031e+002
+3.06967713700e+006, +1.99750080825e+002
+3.27783848200e+006, +1.75243960824e+002
+3.50011569200e+006, +1.51699430174e+002
+3.73746599300e+006, +1.28924602792e+002
